locusId	sysName	desc	name	short	lrn	t
DDA3937_RS00015	DDA3937_RS00015	ATPase RavA stimulator ViaA	setATCH194	PDB	2.040927474011	16.0090963159216
DDA3937_RS00015	DDA3937_RS00015	ATPase RavA stimulator ViaA	setATCH195	PDB	2.06155853560282	16.424965655424
DDA3937_RS00015	DDA3937_RS00015	ATPase RavA stimulator ViaA	setATCH145	PDB	2.11905218706356	15.9350271806516
DDA3937_RS00015	DDA3937_RS00015	ATPase RavA stimulator ViaA	setATCH147	PDB	2.17128600446282	16.3302462381551
DDA3937_RS00020	DDA3937_RS00020	ATPase RavA	setATCH146	PDB	2.06098351876317	15.9811554746161
DDA3937_RS00020	DDA3937_RS00020	ATPase RavA	setATCH194	PDB	2.05826936835792	15.8482128571071
DDA3937_RS00020	DDA3937_RS00020	ATPase RavA	setATCH195	PDB	2.3731540953409	19.0064506353969
DDA3937_RS00020	DDA3937_RS00020	ATPase RavA	setATCH147	PDB	2.36868037500664	17.9669046512503
DDA3937_RS00020	DDA3937_RS00020	ATPase RavA	setATCH196	PDB	2.17890628955167	17.2633354640744
DDA3937_RS00020	DDA3937_RS00020	ATPase RavA	setATCH145	PDB	2.40818411324934	17.7576248790909
DDA3937_RS00025	DDA3937_RS00025	low affinity potassium transporter Kup	setATCH195	PDB	-2.63770995769826	-18.6126177644801
DDA3937_RS00025	DDA3937_RS00025	low affinity potassium transporter Kup	setATCH194	PDB	-2.40487155823744	-16.023536584242
DDA3937_RS00025	DDA3937_RS00025	low affinity potassium transporter Kup	setATCH146	PDB	-2.71567710506856	-18.8507834652144
DDA3937_RS00025	DDA3937_RS00025	low affinity potassium transporter Kup	setATCH147	PDB	-2.95607337914721	-18.2768555879277
DDA3937_RS00025	DDA3937_RS00025	low affinity potassium transporter Kup	setATCH145	PDB	-2.95502620895479	-19.545337785319
DDA3937_RS00025	DDA3937_RS00025	low affinity potassium transporter Kup	setATCH196	PDB	-2.83302914471251	-17.9052278521842
DDA3937_RS00050	DDA3937_RS00050	ribokinase	setATCH197	M9	2.19893456881985	10.2061557542032
DDA3937_RS00055	DDA3937_RS00055	ribose operon transcriptional repressor RbsR	setATCH129	M9	2.54014882930756	22.2993496037945
DDA3937_RS00055	DDA3937_RS00055	ribose operon transcriptional repressor RbsR	setATCH197	M9	3.2288782370078	28.371095992543
DDA3937_RS00055	DDA3937_RS00055	ribose operon transcriptional repressor RbsR	setATCH199	M9	2.92433846488789	24.0435059437407
DDA3937_RS00055	DDA3937_RS00055	ribose operon transcriptional repressor RbsR	setATCH198	M9	2.74178184261814	22.0660985452806
DDA3937_RS00055	DDA3937_RS00055	ribose operon transcriptional repressor RbsR	setATCH130	M9	2.33351472866557	20.4330074783115
DDA3937_RS00055	DDA3937_RS00055	ribose operon transcriptional repressor RbsR	setATCH160	Upstate	2.4937868477871	20.3150812588465
DDA3937_RS00130	DDA3937_RS00130	nitrogen regulation protein NR(II)	setATCH194	PDB	-2.41915409098578	-8.88183934828679
DDA3937_RS00130	DDA3937_RS00130	nitrogen regulation protein NR(II)	setATCH196	PDB	-2.52552038030853	-6.27053700617387
