locusId	sysName	desc	name	short	lrn	t
HGI48_RS00355	HGI48_RS00355	argininosuccinate synthase	setATCH219	M9	-2.17570568839743	-10.2173310688062
HGI48_RS00850	HGI48_RS00850	phosphoenolpyruvate carboxylase	setATCH216	M9	-2.46708925381912	-12.6203036602395
HGI48_RS00850	HGI48_RS00850	phosphoenolpyruvate carboxylase	setATCH219	M9	-2.41343962475943	-11.6701594041669
HGI48_RS00850	HGI48_RS00850	phosphoenolpyruvate carboxylase	setATCH215	M9	-2.05190156824234	-10.2865253501712
HGI48_RS00935	HGI48_RS00935	transcription/translation regulatory transformer protein RfaH	setATCH216	M9	2.07572583995725	13.1678211202684
HGI48_RS01100	HGI48_RS01100	DUF1176 domain-containing protein	setATCH216	M9	2.62508434770657	15.6703901511177
HGI48_RS01100	HGI48_RS01100	DUF1176 domain-containing protein	setATCH219	M9	2.02732788995677	11.5307423702482
HGI48_RS01100	HGI48_RS01100	DUF1176 domain-containing protein	setATCH215	M9	2.36681376920501	13.9363446229194
HGI48_RS01100	HGI48_RS01100	DUF1176 domain-containing protein	setATCH214	M9	2.68131385409903	14.753513198952
HGI48_RS01100	HGI48_RS01100	DUF1176 domain-containing protein	setATCH217	M9	2.20395219662853	13.0981439267168
HGI48_RS01100	HGI48_RS01100	DUF1176 domain-containing protein	setATCH218	M9	2.69729294037342	17.7610377561658
HGI48_RS01210	HGI48_RS01210	phosphoribosylamine--glycine ligase	setATCH219	M9	-2.17177751156459	-9.65515292741959
HGI48_RS01210	HGI48_RS01210	phosphoribosylamine--glycine ligase	setATCH215	M9	-2.00920492488269	-8.80298851662318
HGI48_RS01210	HGI48_RS01210	phosphoribosylamine--glycine ligase	setATCH230	Norland	-2.07571669353145	-10.2714565924328
HGI48_RS01210	HGI48_RS01210	phosphoribosylamine--glycine ligase	setATCH228	Norland	-2.13466477586374	-9.97723053052981
HGI48_RS01210	HGI48_RS01210	phosphoribosylamine--glycine ligase	setATCH218	M9	-2.3060148157307	-9.06583170206734
HGI48_RS01215	HGI48_RS01215	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	setATCH217	M9	-2.17283942013682	-8.00424807347801
HGI48_RS01290	HGI48_RS01290	DNA-binding transcriptional regulator Fis	setATCH217	M9	2.02542587464312	5.39583498252811
HGI48_RS01545	HGI48_RS01545	stringent starvation protein A	setATCH208	PDB	2.15220061021613	13.4800357294282
HGI48_RS01545	HGI48_RS01545	stringent starvation protein A	setATCH209	PDB	2.04456322147026	12.1098487777805
HGI48_RS01545	HGI48_RS01545	stringent starvation protein A	setATCH211	PDB	2.03304978386571	12.011539677032
HGI48_RS01545	HGI48_RS01545	stringent starvation protein A	setATCH213	PDB	2.25714821946566	14.7922866371668
HGI48_RS01555	HGI48_RS01555	glutamate synthase small subunit	setATCH215	M9	-2.05966170549139	-7.96479517487669
HGI48_RS01555	HGI48_RS01555	glutamate synthase small subunit	setATCH218	M9	-2.04764942046282	-8.2606033467757
HGI48_RS01560	HGI48_RS01560	glutamate synthase large subunit	setATCH216	M9	-2.33072392115878	-14.4188460725727
HGI48_RS01560	HGI48_RS01560	glutamate synthase large subunit	setATCH215	M9	-2.14227618747774	-13.8450950966118
HGI48_RS01560	HGI48_RS01560	glutamate synthase large subunit	setATCH214	M9	-2.01642972326584	-13.4930657931962
